sample_id,mean_human_score,num_ratings,std_human_score
before_rl_01,3.5,18,1.0431851677040116
before_rl_02,3.111111111111111,18,0.9002541398626664
before_rl_03,3.8333333333333335,18,0.8574929257125442
before_rl_04,4.0,18,0.9074852129730302
before_rl_05,3.8333333333333335,18,0.7071067811865476
before_rl_06,3.6666666666666665,18,0.9074852129730301
before_rl_07,3.2777777777777777,18,1.1785113019775793
before_rl_08,3.7777777777777777,18,1.0032626514091005
before_rl_09,3.7222222222222223,18,1.1785113019775793
before_rl_10,4.333333333333333,18,0.6859943405700354
