sample_id,mean_human_score,num_ratings,std_human_score
after_rl_01,3.7058823529411766,17,1.046703508780838
after_rl_02,4.0,17,1.0
after_rl_03,3.8823529411764706,17,0.9275204136012635
after_rl_04,4.411764705882353,17,0.7122871199007257
after_rl_05,4.117647058823529,17,0.8574929257125443
after_rl_06,4.0588235294117645,17,0.9663454503498036
after_rl_07,3.823529411764706,17,1.1311108542958477
after_rl_08,3.9411764705882355,17,1.088036547829054
after_rl_09,4.0,17,0.9354143466934854
after_rl_10,4.0,17,1.0606601717798212
